# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.885261 1.05265 1.33534
0.111111 0 0.111111 0.157135  1.66436 1.73796 2.51176
0.166667 0 0.166667 0.235702  2.42438 2.47639 3.58507
0.222222 0 0.222222 0.31427  3.1531 3.18476 4.68105
0.277778 0 0.277778 0.392837  3.72739 3.76013 5.55656
0.333333 0 0.333333 0.471405  4.23631 4.27641 6.32422
0.388889 0 0.388889 0.549972  4.60037 4.62431 6.89025
0.444444 0 0.444444 0.628539  4.81928 4.86432 7.2401
0.5 0 0.5 0.707107  4.88443 4.92518 7.37038
0.5 0 0.5 0.707107  4.88443 4.92518 7.37038
0.5 0.0625 0.5625 0.795495  4.88148 5.00823 7.3022
0.5 0.125 0.625 0.883883  4.82542 5.32615 7.08267
0.5 0.1875 0.6875 0.972272  4.78555 5.79661 6.70554
0.5 0.25 0.75 1.06066  4.81983 6.23237 6.30884
0.5 0.25 0.75 1.06066  4.81983 6.23237 6.30884
0.5 0.1875 0.6875 1.14905  4.78555 5.79661 6.70554
0.5 0.125 0.625 1.23744  4.82542 5.32615 7.08267
0.5 0.0625 0.5625 1.32583  4.88148 5.00823 7.3022
0.5 0 0.5 1.41421  4.88443 4.92518 7.37038
0.5 1 0.5 1.41421  4.88443 4.92518 7.37038
0.464286 0.928571 0.464286 1.5017  4.86602 4.99092 7.33277
0.428571 0.857143 0.428571 1.58918  4.72077 5.28741 7.20334
0.392857 0.785714 0.392857 1.67666  4.47699 5.65359 6.95029
0.357143 0.714286 0.357143 1.76414  4.19966 5.9978 6.6153
0.321429 0.642857 0.321429 1.85162  3.87076 6.15421 6.3018
0.285714 0.571429 0.285714 1.9391  3.48035 5.6946 6.38097
0.25 0.5 0.25 2.02659  3.03126 5.16163 6.23372
0.214286 0.428571 0.214286 2.11407  2.63298 4.45465 5.93127
0.178571 0.357143 0.178571 2.20155  2.2183 3.77351 5.47129
0.142857 0.285714 0.142857 2.28903  1.70967 3.04261 4.68544
0.107143 0.214286 0.107143 2.37651  1.29589 2.33103 3.7445
0.0714286 0.142857 0.0714286 2.46399  1.0126 1.62318 2.58602
0.0357143 0.0714286 0.0357143 2.55148  0.692616 0.950922 1.43173
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -4.71482e-09 5.19733e-15 4.71482e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.828088 0.856462 1.38646
0.111111 0.111111 0.111111 2.83141  1.05719 1.10094 2.63952
0.166667 0.166667 0.166667 2.92763  1.61284 1.6194 3.75461
0.222222 0.222222 0.222222 3.02386  1.99635 2.0584 4.83219
0.277778 0.277778 0.277778 3.12008  2.3256 2.39344 5.65592
0.333333 0.333333 0.333333 3.21631  2.6837 2.7377 6.46294
0.388889 0.388889 0.388889 3.31253  2.86186 2.92694 6.99564
0.444444 0.444444 0.444444 3.40876  3.05456 3.08944 7.25503
0.5 0.5 0.5 3.50498  3.0578 3.11548 7.38753
