# q     qr    freq
# 2pi/L  2pi/L sqrt(epsilon/(m.sigma^2)!
-0.5 0 0 0  0.971388 1.41579
-0.46875 0 0 0.03125  0.985114 1.42252
-0.4375 0 0 0.0625  0.968712 1.43786
-0.40625 0 0 0.09375  0.924638 1.46049
-0.375 0 0 0.125  0.872206 1.50432
-0.34375 0 0 0.15625  0.816495 1.53907
-0.3125 0 0 0.1875  0.743161 1.54589
-0.28125 0 0 0.21875  0.677502 1.598
-0.25 0 0 0.25  0.623446 1.6362
-0.21875 0 0 0.28125  0.553171 1.66007
-0.1875 0 0 0.3125  0.463481 1.67925
-0.15625 0 0 0.34375  0.413234 1.66806
-0.125 0 0 0.375  0.329961 1.68458
-0.09375 0 0 0.40625  0.246116 1.7325
-0.0625 0 0 0.4375  0.170507 1.72264
-0.03125 0 0 0.46875  0.0971463 1.75334
0 0 0 0.5  1.05367e-08 1.71915
0.03125 0 0 0.53125  0.0971463 1.75334
0.0625 0 0 0.5625  0.170507 1.72264
0.09375 0 0 0.59375  0.246116 1.7325
0.125 0 0 0.625  0.329961 1.68458
0.15625 0 0 0.65625  0.413234 1.66806
0.1875 0 0 0.6875  0.463481 1.67925
0.21875 0 0 0.71875  0.553171 1.66007
0.25 0 0 0.75  0.623446 1.6362
0.28125 0 0 0.78125  0.677502 1.598
0.3125 0 0 0.8125  0.743161 1.54589
0.34375 0 0 0.84375  0.816495 1.53907
0.375 0 0 0.875  0.872206 1.50432
0.40625 0 0 0.90625  0.924638 1.46049
0.4375 0 0 0.9375  0.968712 1.43786
0.46875 0 0 0.96875  0.985114 1.42252
0.5 0 0 1  0.971388 1.41579
